ID,date_cer,kwh
2570,42306,0.055320253
2570,42307,0.060852278
2570,42308,0.043753291
2570,42309,0.055320253
2570,42310,0.055320253
2570,42311,3.067759494
2570,42312,5.06029443
2570,42313,5.998224177
2570,42314,4.469373544
2570,42315,4.121861772
2570,42316,4.238034304
2570,42317,0.353043797
2570,42318,0.060852278
2570,42319,0.055320253
2570,42320,0.043753291
2570,42321,0.055320253
2570,42322,0.060852278
2570,42323,0.055320253
2570,42324,0.043753291
2570,42325,0.055320253
2570,42326,0.060852278
2570,42327,2.913365696
2570,42328,5.413338228
2570,42329,2.411460127
2570,42330,0.054817342
2570,42331,3.890522532
2570,42332,5.705529747
2570,42333,1.120486582
2570,42334,5.540071899
2570,42335,3.901083671
2570,42336,3.77435
2570,42337,4.072576456
2570,42338,4.563417975
2570,42339,4.061009494
2570,42340,4.083640506
2570,42341,3.669241519
2570,42342,4.000660127
2570,42343,3.597828101
2570,42344,3.597828101
2570,42345,3.603360127
2570,42346,3.586764051
2570,42347,0.540629747
2570,42348,0.049788228
2570,42401,0.054734557
2570,42402,0.055236709
2570,42403,0.055236709
2570,42404,0.049210886
2570,42405,0.055236709
2570,42406,0.055236709
2570,42407,0.06076038
2570,42408,0.043687215
2570,42409,0.055236709
2570,42410,0.055236709
2570,42411,2.83766038
2570,42412,5.35545
2570,42413,5.007960886
2570,42414,4.066426076
2570,42415,4.060400253
2570,42416,3.575823671
2570,42417,0.52374443
2570,42418,0.043687215
2570,42419,0.055236709
2570,42420,0.06076038
2570,42421,0.055236709
2570,42422,0.043687215
2570,42423,0.055236709
2570,42424,0.06076038
2570,42425,0.054734557
2570,42426,0.055236709
2570,42427,0.044189367
2570,42428,0.06076038
2570,42429,0.980702658
2570,42430,7.482063291
2570,42431,7.652794937
2570,42432,2.347560127
2570,42433,2.363628987
2570,42434,5.884215949
2570,42435,8.137873671
2570,42436,4.441031392
2570,42437,3.790242532
2570,42438,3.730486456
2570,42439,3.817860886
2570,42440,3.664202405
2570,42441,3.586871013
2570,42442,3.575823671
2570,42443,3.553728987
2570,42444,3.559252658
2570,42445,3.620013038
2570,42446,3.663700253
2570,42447,0.346986962
2570,42448,0.044189367
2570,42501,0.061143291
2570,42502,0.05558481
2570,42503,0.043962532
2570,42504,0.05558481
2570,42505,0.061143291
2570,42506,0.044467848
2570,42507,0.055079494
2570,42508,0.044467848
2570,42509,0.05558481
2570,42510,0.061143291
2570,42511,2.921739747
2570,42512,5.672177215
2570,42513,5.006170127
2570,42514,4.053143291
2570,42515,4.042026329
2570,42516,3.686788861
2570,42517,0.377471392
2570,42518,0.055079494
2570,42519,0.044467848
2570,42520,0.05558481
2570,42521,0.060637975
2570,42522,0.044467848
2570,42523,0.05558481
2570,42524,0.05558481
2570,42525,0.060637975
2570,42526,0.05558481
2570,42527,0.044467848
2570,42528,0.05558481
2570,42529,0.060637975
2570,42530,0.05558481
2570,42531,0.05558481
2570,42532,0.043962532
2570,42533,0.061143291
2570,42534,4.574124557
2570,42535,5.999116962
2570,42536,3.553890633
2570,42537,3.75955443
2570,42538,3.42604557
2570,42539,3.498811139
2570,42540,3.48163038
2570,42541,3.121845063
2570,42542,3.520539747
2570,42543,3.082935696
2570,42544,3.387641519
2570,42545,3.232509367
